Session	Start	End	Speaker	Title
0	10:00 am	10:10 am	Kleinstein lab, Yale University	Welcome
1	10:10 am	10:30 am	Dr. Suhas Sureshchandra, University of California, Irvine	Influenza Vaccine Format Mediates Distinct Cellular and Antibody Responses in Human Immune Organoids
2	10:30 am	10:50 am	Dr. Melissa Garcia, Centro de Investigación en Alimentación y Desarrollo (CIAD)	Integrative Bioinformatics for Characterizing Atypical Memory B Cells Through Single-Cell RNA-seq in COVID-19
3	10:50 am	11:10 am	Dr. Noemia Santana Lima, Vaccine Research Center / National Institute of Allergy and Infectious Diseases	Pre-Existing Memory B Cell Phenotype Determines the Quality of B Cell Response to Vaccine Boosters
4	11:10 am	11:30 am	Mr. Thomas Wolf Verdonckt, Institute of Tropical Medicine (Antwerp)	Longitudinal Profiling of the BCR Repertoire During Primary DENV1 Infection
5	11:30 am	11:50 am	Ms. Abby Spangler, National Institutes of Health	Impact of Pre-Existing Immunity on Clonal Evolution and Diversification of Memory B Cells in Response to Vaccination
5.5	11:50 am	12:10 am	Break	Break
6	12:10 am	12:30 am	Dr. Kelly Bruton, Stanford University	Pathogenic IgE-Fated B Cell Memory Retains Functional Plasticity
7	12:30 am	12:50 am	Ms. Emily R. Siniscalco, Yale University	Gut Germinal Centers Support Sequential Class Switching for Antigen-Specific IgA Production
8	12:50 am	1:10 am	Dr. James San, Duke Human Vaccine Institute	Phylogenetic Reconstruction of HIV B Cell Lineages with Dowser: Applications to Mutation-Guided Vaccine Design
9	1:10 am	1:30 am	Dr. Ariel Erijman, New England Biolabs	Consistency and Reproducibility Across Germline Databases in Immune Repertoire Analysis
10	1:30 am	1:40 am	Kleinstein lab, Yale University	Wrap up
